Country,year,gdp,primary_edu,secondary_edu,fertility
Brazil,YR2020,7074.19407495707,105.912231445312,103.882659912109,47.46
Brazil,YR2021,7972.53696080695,103.929397583008,106.298461914062,45.67
Brazil,YR2022,9281.33282136864,104.667419433594,105.702369689941,42.881
Brazil,YR2023,10377.5897719195,,,42.686
Brazil,YR2024,10310.5488778166,104.296913146973,104.144660949707,41.459
India,YR2020,1907.04251637669,101.291254076896,77.6271548412386,14.423
India,YR2021,2239.61384367482,102.316124063995,80.6246396728944,14.289
India,YR2022,2347.44829434623,111.084455602236,81.1778608399708,14.185
India,YR2023,2530.12031278204,112.031231642927,78.8639591218839,14.06
India,YR2024,2694.73780859961,120.520368565055,78.1058073224606,13.036
Italy,YR2020,32091.4866621366,102.636672973633,101.836128234863,3.295
Italy,YR2021,36852.5425414951,101.089881896973,101.834869384766,3.016
Italy,YR2022,35653.9042103495,101.56453704834,101.353858947754,2.988
Italy,YR2023,39277.0838783918,103.566017150879,100.678756713867,2.852
Italy,YR2024,40385.3413957669,,,2.871
Malaysia,YR2020,9957.52626697613,93.1800129351047,73.2459411621094,7.634
Malaysia,YR2021,10903.1037480772,92.5769881927004,74.9618181140898,6.364
Malaysia,YR2022,11754.5678336248,89.7872630978958,78.8341986282999,5.975
Malaysia,YR2023,11386.0395636528,91.5021106685076,79.4472788704033,5.962
Malaysia,YR2024,11874.4273684245,90.3595586965317,80.2757406864183,5.72
Niger,YR2020,579.512495758236,,,152.034
Niger,YR2021,608.722439593808,65.864245185741,,148.248
Niger,YR2022,609.745147574878,66.2539719118599,,146.929
Niger,YR2023,638.336080897887,66.8804779933272,21.5605140503495,145.324
Niger,YR2024,735.270255787226,64.6534815281519,19.8664761204349,141.551
Switzerland,YR2020,85897.7843338323,101.731712341309,104.211616516113,1.671
Switzerland,YR2021,93664.7736696111,101.478240966797,103.605186462402,1.471
Switzerland,YR2022,94394.5106803525,101.363067626953,103.392356872559,1.386
Switzerland,YR2023,100623.549627296,102.282958984375,102.965591430664,1.483
Switzerland,YR2024,103998.186685604,101.21174621582,101.4287109375,1.48
